Hugo_Symbol,TCGA.2J.AAB1.01,TCGA.2J.AAB4.01,TCGA.2J.AAB6.01,TCGA.2J.AAB8.01,TCGA.2J.AAB9.01,TCGA.2J.AABA.01,TCGA.2J.AABE.01,TCGA.2J.AABF.01,TCGA.2J.AABH.01,TCGA.2J.AABI.01,TCGA.2J.AABK.01,TCGA.2J.AABO.01,TCGA.2J.AABP.01,TCGA.2J.AABR.01,TCGA.2J.AABT.01,TCGA.2J.AABU.01,TCGA.2J.AABV.01,TCGA.2L.AAQA.01,TCGA.2L.AAQE.01,TCGA.2L.AAQI.01,TCGA.2L.AAQJ.01,TCGA.2L.AAQL.01,TCGA.2L.AAQM.01,TCGA.3A.A9I5.01,TCGA.3A.A9I7.01,TCGA.3A.A9I9.01,TCGA.3A.A9IB.01,TCGA.3A.A9IC.01,TCGA.3A.A9IH.01,TCGA.3A.A9IJ.01,TCGA.3A.A9IL.01,TCGA.3A.A9IN.01,TCGA.3A.A9IO.01,TCGA.3A.A9IR.01,TCGA.3A.A9IS.01,TCGA.3A.A9IU.01,TCGA.3A.A9IV.01,TCGA.3A.A9IX.01,TCGA.3A.A9IZ.01,TCGA.3A.A9J0.01,TCGA.3E.AAAY.01,TCGA.3E.AAAZ.01,TCGA.F2.6879.01,TCGA.F2.6880.01,TCGA.F2.7273.01,TCGA.F2.7276.01,TCGA.F2.A44G.01,TCGA.F2.A44H.01,TCGA.F2.A7TX.01,TCGA.F2.A8YN.01,TCGA.FB.A4P5.01,TCGA.FB.A4P6.01,TCGA.FB.A545.01,TCGA.FB.A5VM.01,TCGA.FB.A78T.01,TCGA.FB.A7DR.01,TCGA.FB.AAPP.01,TCGA.FB.AAPQ.01,TCGA.FB.AAPS.01,TCGA.FB.AAPU.01,TCGA.FB.AAPY.01,TCGA.FB.AAPZ.01,TCGA.FB.AAQ0.01,TCGA.FB.AAQ1.01,TCGA.FB.AAQ2.01,TCGA.FB.AAQ3.01,TCGA.FB.AAQ6.01,TCGA.H6.8124.01,TCGA.H6.A45N.01,TCGA.H8.A6C1.01,TCGA.HV.A5A3.01,TCGA.HV.A5A4.01,TCGA.HV.A5A5.01,TCGA.HV.A5A6.01,TCGA.HV.A7OL.01,TCGA.HV.A7OP.01,TCGA.HV.AA8V.01,TCGA.HV.AA8X.01,TCGA.HZ.7289.01,TCGA.HZ.7918.01,TCGA.HZ.7919.01,TCGA.HZ.7920.01,TCGA.HZ.7922.01,TCGA.HZ.7923.01,TCGA.HZ.7924.01,TCGA.HZ.7925.01,TCGA.HZ.7926.01,TCGA.HZ.8001.01,TCGA.HZ.8002.01,TCGA.HZ.8003.01,TCGA.HZ.8005.01,TCGA.HZ.8315.01,TCGA.HZ.8317.01,TCGA.HZ.8519.01,TCGA.HZ.8636.01,TCGA.HZ.8637.01,TCGA.HZ.8638.01,TCGA.HZ.A49G.01,TCGA.HZ.A49H.01,TCGA.HZ.A49I.01,TCGA.HZ.A4BH.01,TCGA.HZ.A4BK.01,TCGA.HZ.A77O.01,TCGA.HZ.A77P.01,TCGA.HZ.A77Q.01,TCGA.HZ.A8P0.01,TCGA.HZ.A8P1.01,TCGA.HZ.A9TJ.01,TCGA.IB.7644.01,TCGA.IB.7645.01,TCGA.IB.7646.01,TCGA.IB.7649.01,TCGA.IB.7651.01,TCGA.IB.7652.01,TCGA.IB.7885.01,TCGA.IB.7886.01,TCGA.IB.7887.01,TCGA.IB.7888.01,TCGA.IB.7889.01,TCGA.IB.7890.01,TCGA.IB.7891.01,TCGA.IB.7893.01,TCGA.IB.7897.01,TCGA.IB.8126.01,TCGA.IB.8127.01,TCGA.IB.A5SO.01,TCGA.IB.A5SP.01,TCGA.IB.A5SQ.01,TCGA.IB.A5SS.01,TCGA.IB.A5ST.01,TCGA.IB.A6UF.01,TCGA.IB.A6UG.01,TCGA.IB.A7LX.01,TCGA.IB.A7M4.01,TCGA.IB.AAUM.01,TCGA.IB.AAUN.01,TCGA.IB.AAUO.01,TCGA.IB.AAUP.01,TCGA.IB.AAUQ.01,TCGA.IB.AAUR.01,TCGA.IB.AAUS.01,TCGA.IB.AAUT.01,TCGA.IB.AAUU.01,TCGA.IB.AAUV.01,TCGA.IB.AAUW.01,TCGA.L1.A7W4.01,TCGA.LB.A7SX.01,TCGA.LB.A8F3.01,TCGA.LB.A9Q5.01,TCGA.M8.A5N4.01,TCGA.OE.A75W.01,TCGA.PZ.A5RE.01,TCGA.Q3.A5QY.01,TCGA.Q3.AA2A.01,TCGA.RB.A7B8.01,TCGA.RB.AA9M.01,TCGA.RL.AAAS.01,TCGA.S4.A8RM.01,TCGA.S4.A8RO.01,TCGA.S4.A8RP.01,TCGA.US.A774.01,TCGA.US.A776.01,TCGA.US.A779.01,TCGA.US.A77E.01,TCGA.US.A77G.01,TCGA.US.A77J.01,TCGA.XD.AAUG.01,TCGA.XD.AAUH.01,TCGA.XD.AAUI.01,TCGA.XD.AAUL.01,TCGA.XN.A8T3.01,TCGA.XN.A8T5.01,TCGA.YB.A89D.01,TCGA.YH.A8SY.01,TCGA.YY.A8LH.01,TCGA.Z5.AAPL.01,DEG type
A1BG,81.9122,56.7551,82.5497,56.9307,105.7878,99.3455,79.4019,92.7368,52.574,76.3316,110.9845,61.4904,53.1931,102.6345,43.5419,54.5852,105.5118,65.1036,124.1752,50.3537,91.5297,223.1418,1056.4392,158.4094,67.4598,143.4731,91.5812,138.2272,89.2498,645.5858,723.7382,823.4527,379.2681,253.9528,369.3503,71.0325,514.859,103.804,39.2193,35.474,119.9122,35.4488,21.9317,72.2307,76.5828,56.1554,88.0022,124.1611,49.8197,97.6726,191.4945,84.0395,72.5965,140.8659,74.4403,58.0595,7.0249,61.8426,297.6966,29.6613,110.5146,44.5764,47.8342,114.7589,72.6477,184.6741,53.7465,63.9293,141.5588,144.3427,118.9951,89.6668,103.911,52.9979,136.6297,61.287,179.6363,73.1705,37.1145,12.1636,27.1172,79.2071,24.8394,90.6329,25.2943,52.1148,35.4078,79.3211,41.3761,45.6529,35.8215,49.5381,44.3482,238.0921,89.2878,87.0829,31.988,111.6083,152.7681,123.2293,83.4461,104.0791,68.0611,65.4525,82.2503,156.1406,43.6108,62.9174,26.5368,35.2225,14.2487,38.1212,44.6239,55.3353,46.5184,19.1257,32.9333,69.5762,71.1042,71.0398,51.1032,53.1822,50.6578,150.2069,58.0198,121.8404,34.52,211.4357,92.5629,269.9257,70.0495,61.0117,35.5519,76.0233,112.1505,60.2024,87.7901,109.4091,151.9834,186.3706,218.5595,166.2261,61.3038,206.8033,76.8659,133.1325,65.2209,80.1218,105.7502,37.9092,265.5958,143.3148,283.2625,72.646,172.1983,99.5365,190.0482,39.6258,78.2303,116.0879,123.1832,25.8795,87.4792,105.4629,37.8731,251.6991,192.973,135.0495,141.4958,101.9751,132.0253,122.8427,156.8859,239.3867,65.8274,120.8775,NS
A1BG-AS1,60.8244,45.1684,63.3801,56.9025,83.2262,52.2311,65.0655,95.6499,41.1629,31.2264,93.5512,76.9952,62.7091,82.6531,46.3892,24.3668,100.252,28.8357,45.7229,39.286,40.0941,70.0403,268.8605,82.0408,59.4844,83.5297,38.8632,65.8074,40.9951,169.6183,359.4697,955.2425,221.4768,131.4072,247.5375,46.2258,317.8897,97.2537,22.2825,27.0557,93.3886,16.5782,43.2214,41.8288,87.9894,95.7502,67.936,61.5101,44.0281,32.6983,164.7866,93.1676,38.9251,76.7606,53.6995,50.5438,0,26.2501,141.869,14.9433,83.7161,49.3411,21.0366,56.1129,55.8074,47.9538,29.061,40.7055,96.5394,63.5722,83.7295,60.6502,83.1427,32.3448,45.841,2.6456,119.6363,34.5105,9.3048,57.1043,45.5359,176.1843,49.6702,145.888,34.7656,63.5864,25.7905,91.1902,73.2834,74.2842,46.1923,48.3226,43.6039,153.2778,107.762,124.4476,33.2058,87.5821,124.1064,93.8303,60.5616,60.2748,28.0769,44.4018,62.1739,61.3445,34.012,30.3962,27.684,81.3514,32.9645,39.5984,74.8222,52.5974,42.561,39.9918,22.9062,108.1343,80.5233,68.6314,54.4398,78.4033,163.5417,79.0934,56.1419,72.6114,22.9609,137.4476,77.5482,187.0162,25.3254,34.0111,24.1773,35.4248,80.7885,42.2766,44.0426,112.4362,60.1212,153.8638,169.3876,84.8325,34.6783,146.5839,70.7589,69.247,32.7264,33.4569,64.4987,33.7737,123.004,66.4707,159.4026,31.7448,97.1386,63.9313,137.8939,32.869,41.382,66.289,76.6147,12.3322,30.8978,64.5808,19.5892,202.4421,138.3108,165.0495,123.9326,71.9917,70.0158,95.7151,73.8027,90.9171,24.0282,158.5527,NS
A1CF,25.3659,53.4512,8.1871,33.8425,21.4362,18.7882,3.0831,112.3416,62.2822,0,120.8083,24.8397,0,72.3562,23.1539,8.7336,53.5433,38.2063,2.317,26.236,17.8218,36.8701,47.4777,183.0732,165.2578,36.8272,49.5818,2.4691,4.259,117.5688,151.7428,97.5751,320.1862,131.1662,359.8364,8.348,286.2354,35.9367,6.6914,4.7531,50.2194,3.3657,159.0106,181.6508,209.7139,54.2532,39.1832,19.0157,14.5119,1.03,15.9797,178.4741,4.542,5.2165,12.0682,21.8903,113.3716,173.206,2.7586,176.0904,86.1322,28.2404,92.9566,17.4869,5.1187,44.3044,128.6385,7.8264,67.8098,19.3966,4.672,59.6454,60.6586,7.4946,67.1596,2.0429,6.3046,3.458,301.0978,16.7689,78.4283,130.6903,8.5653,102.3857,310.7232,15.6887,208.8336,42.5358,166.1319,109.0718,12.9366,24.2332,67.7966,167.6723,32.8585,45.1489,382.4134,33.3698,34.3585,20.3548,74.874,127.2903,22.6963,14.954,2.3502,33.2455,332.9341,14.8917,47.2393,22.4532,2.5381,100.7488,12.4898,55.1285,8.3914,108.1164,23.1234,79.2515,17.7173,19.4728,43.744,2.6237,97.94,83.0251,49.4723,13.1732,28.4283,32.84,0.7591,30.581,12.0459,15.0301,8.2658,23.3325,44.4444,15.7392,1.4756,21.9997,58.6735,7.6646,8.3293,121.4115,116.3187,23.6025,88.8714,0.4272,1.8555,127.4112,65.7684,18.3802,43.6941,38.756,2.1274,71.3771,55.5556,106.0086,29.4748,142.6195,21.1801,85.7597,27.7895,128.8584,83.1264,65.0655,38.3387,46.894,43.2432,42.6861,85.686,89.3971,21.097,9.5352,73.9979,2.3364,29.9857,3.9886,NS
A2M,19703.8049,15837.8241,8517.4444,14413.913,24311.7792,10302.0072,11076.8614,18795.9458,14776.9425,3769.4702,11778.2502,24191.4503,26914.161,21647.415,26281.8773,10099.2358,11981.9528,5689.073,7511.9833,11823.0964,15670.2079,21249.9357,22598.6588,8338.8415,14601.7751,14472.3059,25058.8693,12240.884,13373.1875,6998.0955,15069.5001,18052.194,6027.0684,4092.3396,3064.866,9919.0773,7038.5071,21113.4252,6585.0855,11854.6976,29675.0804,14683.923,7873.0683,17341.1844,47982.0945,29427.6021,9930.436,23090.5369,9838.1266,7541.2913,20623.8678,20171.6553,10937.1537,16176.5936,9951.6022,29970.854,1767.9847,7415.4791,32783.8552,6172.8764,15200.195,18055.7133,4333.2879,10700.7145,8090.6189,12158.5871,7705.9531,8333.7463,22943.8426,13291.9612,5786.9816,16519.065,17682.7903,6843.1317,9046.5126,4133.4423,16374.1804,6950.9056,1113.9519,33310.7607,15092.1651,31976.0025,22328.8266,28422.9788,29222.9052,18625.9021,10885.9682,29803.5174,27968.8627,20570.9386,7068.508,21595.5017,21780.39,26083.7347,15904.1195,13814.1819,13684.2543,23175.0164,21368.767,22832.6117,20200.6192,15862.0829,10129.0587,24192.8834,24246.0458,15313.98,6971.1916,13807.9373,12653.9172,31855.6175,16743.5939,37908.3799,40229.6715,23547.2489,20869.5846,16527.8075,9274.1596,37276.6208,21809.1141,20560.1453,28796.7106,12843.9768,31954.9404,20809.0079,13915.374,24928.9694,7847.7006,33210.9382,15446.9532,29040.0218,9212.5576,8214.8882,4657.683,4824.139,15056.3082,12850.3654,6114.7745,20726.2595,18316.7857,25304.6844,22764.5027,30072.7751,10871.6702,25995.5611,21216.0873,8110.1955,5437.9126,20510.0609,20881.4158,14937.938,10474.3793,9937.1204,17434.6184,8807.2603,17289.3608,17075.0043,34580.2572,9596.1746,12435.1661,20186.6914,16851.28,2867.1681,9206.7126,15598.0917,6687.6495,23211.0414,27767.3514,23815.5128,20787.3452,22677.6549,18811.5876,20203.6412,23524.5683,8438.5456,4471.2821,10193.6752,NS
A2M-AS1,22.5366,31.7045,27.5848,40.611,33.3441,42.1293,31.5092,34.9216,21.838,137.2787,47.6311,37.7163,34.2872,26.0544,72.9412,16.4847,52.6929,15.3308,17.2104,21.9751,15.9307,38.3514,50.5994,32.1068,27.5571,33.6431,25.8833,32.6963,29.5809,80.5054,73.1476,79.4457,20.7785,99.1251,57.8055,23.3656,40.4883,52.4758,16.4015,28.0591,44.0809,26.997,17.6855,51.8809,29.6154,28.1916,20.447,41.4541,11.0378,24.798,49.4571,23.8488,20.4542,42.4987,25.0936,35.7588,7.7065,10.8411,69.9379,12.0635,37.0748,22.4909,20.2788,32.2358,26.1796,57.4004,22.6854,38.0239,39.7896,21.6164,14.0471,25.8033,32.4032,18.2173,28.0407,14.668,43.8603,11.273,1.0507,31.9796,25.0812,39.3544,16.7837,65.7555,28.9651,32.3972,13.3878,43.5174,39.3369,37.871,17.7361,29.6403,37.8845,93.4483,36.805,48.4502,34.2337,33.9551,70.4129,14.8645,17.7634,41.0029,18.9375,61.3344,27.7497,42.7603,13.8383,26.4442,32.2791,25.4636,24.934,59.6256,20.6679,26.035,31.9846,15.5017,25.6565,46.4392,30.1937,33.8775,35.2825,31.9603,62.4069,51.5716,32.4341,39.26,7.6401,42.2558,16.753,42.1101,22.815,19.4855,12.9267,16.845,54.8029,29.9044,34.1756,32.2472,39.7194,33.9089,66.9525,44.4498,18.4022,65.3085,42.6622,9.8515,11.6989,21.4112,21.9868,24.7272,33.0685,19.4646,30.4265,28.3562,57.1147,22.8498,41.3934,19.6258,17.2416,47.8242,30.8253,8.8731,19.3055,32.476,24.8106,57.5335,56.2973,66.8402,34.844,33.3638,34.9314,32.9499,28.8746,30.4965,12.4573,16.5812,NS
A2ML1,85.8537,0,1815.7895,16.9213,642.015,873.6496,74.6108,13.4668,4.7909,1092.5254,6.4488,258.8141,0,45.7638,0,905.0218,0,3.2174,185.8202,2903.9373,1.9802,1.9405,0,0.6002,629.3322,0,1.6124,6.4198,330.2681,1.064,0.5362,0,0,0,0.4543,3030.3163,0,62.0725,964.3123,8.45,8.7762,1972.7001,0,1.2274,0.7984,0.3349,315.6733,4.4743,76.9569,20.6006,4.3581,4.7684,309.6139,810.12,0.4161,2.2802,0,0,5.5172,2.2528,190.1408,28.9645,1.1842,4913.315,11719.8697,13.5166,0,223.2582,3.8971,11.8534,474.9836,0.5373,1.1554,28.9079,162.6617,0,510.1843,9.5094,0,2.454,3.5649,1.8804,0,11.2657,0,0.6275,6.365,513.2924,1.0695,33.0362,0,609.9962,62.6991,15.2909,13.6328,8.0051,1.2652,0.547,3.325,0,2.3998,0,229.7304,11.8865,108.1081,333.1195,0.5988,5.7276,0.6135,0,165.9898,117.0865,5.7019,0.265,83.2424,1.1301,1.4014,0,799.7528,629.2789,0.4289,1147.3013,20.9613,0,211.0989,31.3832,1.0153,39.7021,1504.1275,1.7475,0.9637,322.6114,1454.3133,202.384,1.4337,86.5655,460.3966,10.9999,47.8316,0.9017,94.5615,0.5981,3.8347,2.4845,1.5729,251.6288,590.0499,2.5381,33.7977,6.3182,0.4965,53.1864,42.0152,0.721,7.7658,227.897,0.5359,2.079,13.1115,0.5294,329.6842,0,24.686,50.655,0,0.609,10.8108,1.0411,10.8965,12.8898,0.5274,11.919,7.1942,1450.3505,8.8193,35.3276,UP
A4GNT,435.6098,47.5589,1.1696,9.4007,50.3751,6.2627,35.1472,118.3663,19.5993,0.7257,667.6698,221.9551,0,54.4218,21.9024,1.0917,110.2362,22.9238,0.4634,48.0993,214.3564,6.4684,0,25.8103,239.645,65.1558,6.8528,1.4815,20.1336,0,15.0134,1.1547,6.7244,0.6885,0,57.5571,0.5612,157.6314,8.9219,28.5186,161.3847,77.4121,22.9682,105.5539,10.9115,32.4849,2.7594,33.557,14.5119,4.1201,36.3174,139.6458,2.271,1.0433,866.417,62.9347,0,103.2057,39.3103,84.1029,183.0986,15.9305,66.9051,32.9753,0,42.8025,59.1549,16.8885,61.5744,424.0302,0.7787,56.9586,281.918,8.5653,8.626,3.0644,47.0417,466.8252,0,213.4969,14.6558,1.8804,5.1392,10.603,454.1147,2.1964,23.3384,8.18,50.2674,58.731,0.4312,33.6994,167.1977,4.2182,31.1107,264.4893,387.7906,171.7724,1274.5913,74.2676,93.5925,50.1446,30.4462,90.4908,10.5758,23.2718,149.1018,24.0558,288.6503,20.3742,0,62.6276,7.331,37.3708,6.0418,9.4178,2.1021,110.6219,37.0828,3.5871,94.3497,0,56.0173,560.5912,6.4754,379.6978,57.8718,0.9803,1.8977,4.8056,26.501,137.4185,0.9184,130.3576,484.5878,172.5689,27.0532,33.8796,13.3929,14.8783,6.8594,37.6794,66.4678,4.5549,301.219,0.4272,42.6766,9.6447,117.8351,3.4463,461.7676,3.7107,4.2547,713.0497,139.1876,12.8755,15.0054,98.9605,12.1029,107.4643,152.4211,1.9598,195.4729,16.1572,52.031,1.218,514.1892,16.658,36.6518,20.79,48.5232,54.2312,20.0411,1.7523,99.2173,4.5584,NS
AA,1670.7317,1660.3535,2264.3275,1772.973,1572.3473,2061.6878,1593.9571,1564.6319,1670.2962,1525.0363,1404.5572,2140.2244,1482.3777,1712.4304,4082.6033,1680.131,527.5591,1720.0885,1526.4133,1643.1514,1397.5248,844.1316,1023.7389,1410.5642,2171.5976,1392.068,2068.7292,2125.9259,1957.2161,979.3856,1841.8255,1344.1109,1335.5748,2119.659,1871.8764,1975.3954,2186.053,2543.3384,1250.5576,1379.456,1260.3608,3474.196,2449.3522,1438.4781,2068.9288,2579.3704,1852.0971,1521.2528,1919.0853,1640.3236,1420.7372,2136.2398,1845.5715,677.6213,1330.0042,4420.0205,943.1403,1419.7509,2153.7931,1101.9729,1036.8364,1438.0883,1635.3259,1634.2743,1566.7752,541.4142,1412.2066,2389.5217,1547.9345,1204.2026,1225.6133,1451.9076,1573.0791,1101.1777,550.2157,464.76,2508.7294,994.5969,1113.9571,1695.7055,2534.2629,2155.2926,2988.8651,2185.8847,1977.5561,2564.1669,2998.2322,1107.9755,2495.9002,2487.677,2664.9418,2879.2124,2174.589,2096.4314,2237.1756,1397.6945,2167.0093,1452.407,917.1516,1328.5655,2090.2328,1527.9653,1104.9204,4406.0583,2347.8261,1301.2271,914.9701,1246.8928,1703.3742,2108.5239,2968.0203,2366.2355,2133.0437,1909.886,1826.6342,2881.8471,1910.4844,1703.3572,978.5744,3749.5388,2202.6375,4564.093,3127.575,1872.5255,1763.1289,1516.079,1330.5447,1920.8948,2422.2412,1553.5168,1736.5411,2163.8045,2741.4748,1499.8732,1691.0394,2252.389,1462.3493,1756.0186,2072.7041,1352.119,1773.6404,1739.8325,1496.3784,2559.8344,1941.0145,1105.2013,1092.4272,734.0102,1330.8975,1917.8633,464.2502,1107.8448,887.6385,1216.2942,1694.1458,2498.2833,1041.8006,1557.5884,821.4867,1722.0752,2048,1079.8628,777.8612,1902.6201,1456.869,834.9574,2495.9459,1864.6538,1572.5607,1941.3721,2104.4304,1691.2992,1704.5221,1956.7757,1292.9115,835.8974,NS
AAAS,683.9024,533.67,834.5029,801.8801,862.8081,623.767,702.3277,651.7232,517.4216,631.7126,793.2072,745.9936,1008.4166,687.0748,677.7222,520.7424,1000,674.442,702.5023,468.3613,499.505,699.8853,1240.9496,1184.8739,672.4429,699.1501,755.8198,620.2469,660.9234,911.8234,1344.7739,1320.4388,847.7952,834.1617,1053.612,607.645,1093.3071,629.3007,620.8178,611.0378,754.2662,635.7517,630.1531,800.2455,436.4604,514.4005,605.9603,872.4832,921.2841,416.1323,694.389,648.5014,651.022,796.5571,803.5789,488.8838,934.0984,541.1566,751.7241,574.4526,867.2806,645.1846,960.9464,890.3323,544.9046,628.5211,775.5869,474.5266,781.7615,486.5302,816.816,993.0145,729.0583,750.5353,853.9741,512.7681,750.7274,424.4651,1048.6147,521.4724,577.9133,497.0618,580.7281,554.3406,571.8204,533.417,454.0388,839.6728,655.2585,494.494,831.8241,598.6369,540.8436,484.8261,410.0323,617.0349,606.3577,746.7177,721.5295,1061.202,762.659,894.8891,652.1023,618.4816,468.2726,607.062,743.1138,586.5035,543.865,412.474,595.4315,561.6065,477.3283,404.4527,496.098,525.5133,429.8853,431.4805,704.9856,435.5758,556.6635,440.4048,423.5634,557.8466,596.5162,795.4281,549.7825,623.96,351.836,573.6129,799.8497,715.0056,624.5236,852.143,769.1756,468.8027,770.7707,725.9911,920.2806,695.2209,695.2474,704.5455,567.9591,531.2629,611.4825,581.8648,778.8473,831.9797,693.309,654.2217,1089.8709,681.1163,715.8546,968.9978,757.4671,664.3777,750.268,528.4823,647.507,719.9576,560,1087.2122,851.9192,591.7031,621.634,763.0938,632.4324,608.5372,664.1902,648.2328,742.0886,494.6365,602.7749,636.6822,769.9261,777.208,NS
AACS,1192.6829,1226.8519,581.2865,682.4912,643.0868,924.3776,1268.3829,996.5447,808.3624,539.1872,1276.4402,1201.1218,528.6691,844.1558,740.9262,1009.8253,984.252,1575.7088,579.7034,940.1236,941.0891,1234.8254,2430.8605,1001.8007,923.0769,1132.5779,605.4621,609.8765,1400.4453,801.1704,1972.6568,1689.3764,3550.4979,1380.8596,3236.7106,513.6204,2830.3634,752.2205,1157.6208,983.3641,865.9191,833.5826,1213.4865,1099.7238,639.2548,868.7207,1041.3907,1229.3065,965.6992,1011.49,1372.7983,1023.1608,800.9084,905.5816,915.5223,567.7802,2111.6328,1217.8268,570.3448,1028.7583,789.8158,696.5967,1158.7012,579.0657,1369.0088,1021.2529,1229.108,484.8245,1091.1925,924.569,654.0757,1107.4691,1061.814,784.2612,929.7597,568.9479,797.7692,1187.3784,2323.0528,1121.8814,1143.5475,1040.8211,798.7152,751.4911,1068.8279,700.9727,737.7373,943.5583,890.9091,806.5024,911.5998,581.2192,991.4617,804.3526,844.5338,668.2677,1443.6185,917.9431,1216.4034,1096.4104,1138.9489,893.4426,713.5483,891.1043,722.0917,857.7327,1623.9521,489.7076,1178.5276,621.6216,1002.5381,803.9483,514.5262,739.4646,950.2392,477.2942,1093.8075,1375.8943,1067.5731,591.8706,741.932,539.3553,1175.2801,598.3299,730.169,707.4777,1823.4706,850.8991,533.637,840.5417,847.5515,711.7848,613.9618,983.0079,1029.3907,554.8061,886.8536,511.7138,973.2143,659.6032,565.8991,830.7416,595.654,902.2774,1147.8569,1253.8716,853.0674,667.5127,740.8084,732.9121,1088.3813,879.0194,661.0753,1161.4996,925.3286,1206.4378,897.642,1145.1143,1069.0926,855.4791,736,2343.949,1911.4024,713.5371,1797.3528,921.4373,1047.973,1462.2592,1200.0991,763.4096,1044.3038,988.677,1132.5797,727.2196,1041.1201,393.7322,NS
AACSP1,0.4878,0.8418,0,0.9401,0,0,0,2.1263,0.8711,0.3628,2.1496,0,1.5781,1.2369,1.8773,2.1834,0,0,0,0,0,0,1.1869,4.8019,0,2.2663,0.8062,0.4938,2.3231,1.596,9.1153,1.7321,24.3114,0,7.2694,0.4394,0,0,0.7435,0,0.4876,0.7479,0.8834,7.3642,0.5323,0.3349,0.5519,0,0,1.03,0,0.6812,0,0,1.2484,0,0,0,0.6897,0,1.0834,0,0,0,4.188,0,0,0.8238,0.7794,0,1.5573,0,0.5777,0,0,3.0644,0.485,0.4322,1.0455,0.818,0,0.3134,1.2848,0.6627,0.9975,0.3138,0,0,3.5651,0.5244,0,0,1.0195,0,0.3496,0.6404,0.9489,2.1882,0,1.6504,0,0,8.3035,0.7669,0,0.6649,0,0,0.9202,0,0,1.3615,0,0.5301,0,0,0.3504,0,0,0.5124,0.8577,0.3748,0,0.6862,1.2951,0.3874,0.5076,0,0,0.4369,4.3365,2.1472,0.9184,0,0.7168,2.8106,0.4919,0.44,3.1888,0,0.49,2.3923,1.2782,0,0,0.4272,0.4639,0,1.8269,1.7231,1.9861,0,0,0,0,0.8584,0,1.2474,2.0172,0,1.2632,0,0.5038,0.4367,5.477,1.827,0,0,0.9906,0,4.2194,1.1919,0.5139,8.7617,0.8819,0,NS
AADAC,596.0976,32.4074,7.0175,203.0552,126.4737,55.7382,165.2536,142.8192,231.7073,260.8853,122.5279,87.3397,0.526,141.6203,58.8235,342.7948,491.3386,182.9881,113.0677,185.5955,556.4356,309.1915,4.7478,261.7047,1094.2519,214.1643,112.8691,22.2222,17.8105,2.1279,12.3325,64.0878,9.3107,0,0,76.8893,0,160.8984,113.0112,18.4843,224.7684,126.7764,265.6066,537.5882,81.9694,214.6685,236.2031,416.1074,44.8549,53.0466,109.6786,34.7411,18.1681,34.4288,412.8173,68.8633,22.257,148.0777,73.1034,297.3637,713.4345,85.4453,108.9428,203.3475,24.1973,466.3221,320.1878,125.2223,99.7662,69.5043,154.9537,97.2595,128.8273,4.818,233.5182,31.665,51.8914,526.9073,53.3194,1968.0982,344.2129,10.9692,84.3683,33.7972,1917.207,242.8616,276.4242,35.9918,39.9287,108.0231,16.8176,33.3207,208.4873,14.7636,169.1864,138.3285,1634.0345,154.267,298.1435,332.2789,60.9551,241.08,303.9085,67.4847,18.8014,230.7235,1418.5629,105.9601,552.7607,162.578,48.2234,543.9074,217.4857,176.2523,120.1645,43.3219,5158.2728,100.7155,4.5323,62.5179,198.9922,5.6222,10.4807,424.0457,184.4201,211.1585,23.8594,10.2931,6.0727,180.865,87.2125,407.4244,3.2145,2.5361,272.4014,261.9449,52.6308,99.8788,27.4235,59.9639,22.048,37.6794,65.1896,19.4617,255.9969,121.3286,8.3498,282.7411,1195.7068,55.1407,269.6127,153.7872,47.8655,224.9459,1037.037,22.3176,57.8778,464.4491,138.1752,685.0185,433.6842,34.7869,430.2419,99.5633,347.7864,21.9245,144.5946,47.3712,79.2472,155.9252,55.3797,2.9797,180.37,231.8925,71.4364,83.1909,NS
AADACL2,0,0,0,0,0,0,0,0,0,0.3628,0,0,0,0.6184,0,0,0,0,0,0.4859,0,0,0,0,0,0,0.4031,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4876,1.1219,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0165,0,0,0,0,1.0834,0,0,1.4989,0,0.7509,0,0,0,0.5388,0.7787,0,0,0,0,0,0,0.4322,0,0.409,0.3961,0,0,0,0.2494,0,0,0.409,0,0,0,0,3.0585,0,0,0,0,0,0.5542,2.7507,0,0,0,0.7669,0,0,0,0,0.3067,0,0,0,0,0.7951,0,0.3767,0,0,0,0,0,0,0,0,0,0,0.5076,0,0.3795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3932,1.2816,3.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4211,0,0,0,0.4564,0,4.0541,0,0,0,0,0,0,0,0,0,NS
